id,price_doc
30474,1600000
30475,1000000
30476,2000000
30477,4238000
30478,5700000
30479,10200547
30480,5200000
30481,4506800
30482,5150000
30483,4238000
30484,5500000
30485,5700000
30486,3900000
30487,4750000
30488,3858580
30489,2000000
30490,5600000
30491,2000000
30492,2000000
30493,9100000
30494,1000000
30495,2000000
30496,5600000
30497,5600000
30498,5000000
30499,2000000
30500,2000000
30501,2000000
30502,4617686
30503,3000000
30504,1000000
30505,5216843
30506,3000000
30507,3900000
30508,5600000
30509,2000000
30510,7500000
30511,2000000
30512,9345223
30513,5200000
30514,2518800
30515,7500000
30516,3900000
30517,2000000
30518,12013324
30519,5500000
30520,5500000
30521,1600000
30522,5458589
30523,6350000
30524,2000000
30525,9500000
30526,3900000
30527,2000000
30528,6000000
30529,1000000
30530,1600000
30531,2000000
30532,3900000
30533,9100000
30534,1000000
30535,7500000
30536,2000000
30537,1600000
30538,1000000
30539,12505200
30540,7500000
30541,7700000
30542,2394300
30543,6550000
30544,2000000
30545,1000000
30546,4544800
30547,5600000
30548,2000000
30549,3000000
30550,9100000
30551,3900000
30552,1732252
30553,1000000
30554,5216843
30555,5600000
30556,10200547
30557,2000000
30558,9000000
30559,2000000
30560,2000000
30561,2000000
30562,5600000
30563,5618265
30564,7700000
30565,7518000
30566,2000000
30567,1732252
30568,12800000
30569,11112750
30570,2000000
30571,1000000
30572,3900000
30573,11194600
30574,1600000
30575,1600000
30576,4750000
30577,2000000
30578,2987151
30579,2000000
30580,5000000
30581,5500000
30582,2000000
30583,1000000
30584,5500000
30585,2199436
30586,5216843
30587,4544800
30588,2000000
30589,1600000
30590,1000000
30591,5000000
30592,2000000
30593,5600000
30594,12505200
30595,5000000
30596,6740712
30597,5500000
30598,7500000
30599,2000000
30600,12505200
30601,1000000
30602,1732252
30603,7500000
30604,5500000
30605,5500000
30606,8500000
30607,7000000
30608,3900000
30609,2000000
30610,3900000
30611,5600000
30612,7500000
30613,2000000
30614,3000000
30615,2000000
30616,5600000
30617,7500000
30618,5000000
30619,5618265
30620,3023300
30621,9100000
30622,1000000
30623,5000000
30624,3900000
30625,5458589
30626,1000000
30627,2000000
30628,5500000
30629,6100000
30630,5618265
30631,1000000
30632,4238000
30633,5000000
30634,2000000
30635,7500000
30636,5850000
30637,7500000
30638,2000000
30639,6350000
30640,3900000
30641,5500000
30642,5700000
30643,1000000
30644,7500000
30645,5600000
30646,1600000
30647,4975100
30648,8070000
30649,1732252
30650,5500000
30651,3000000
30652,3900000
30653,7500000
30654,5110800
30655,9100000
30656,2000000
30657,2000000
30658,1000000
30659,3900000
30660,8500000
30661,1000000
30662,11315970
30663,2000000
30664,10600000
30665,2000000
30666,1732252
30667,3900000
30668,5600000
30669,4500000
30670,2000000
30671,6200000
30672,9100000
30673,1600000
30674,12800000
30675,2394300
30676,2000000
30677,1000000
30678,5600000
30679,2000000
30680,5672400
30681,2170303
30682,2000000
30683,7500000
30684,5000000
30685,2000000
30686,7500000
30687,5700000
30688,3000000
30689,9100000
30690,8070000
30691,1000000
30692,6800000
30693,16700000
30694,1000000
30695,2000000
30696,1000000
30697,9100000
30698,1000000
30699,1600000
30700,3900000
30701,7500000
30702,2000000
30703,4209255
30704,2000000
30705,9100000
30706,2000000
30707,3561990
30708,9100000
30709,5500000
30710,2000000
30711,4209255
30712,2000000
30713,1000000
30714,5000000
30715,4209823
30716,7500000
30717,1000000
30718,2000000
30719,7532850
30720,7000000
30721,1000000
30722,5600000
30723,3900000
30724,7500000
30725,6400000
30726,2000000
30727,7500000
30728,5600000
30729,3561990
30730,1600000
30731,5600000
30732,5000000
30733,1600000
30734,6291292
30735,3900000
30736,12505200
30737,1000000
30738,2000000
30739,3561990
30740,3900000
30741,5600000
30742,5200000
30743,3900000
30744,5600000
30745,2000000
30746,3900000
30747,9500000
30748,2000000
30749,1000000
30750,3900000
30751,4437750
30752,7532850
30753,2000000
30754,7600000
30755,3561990
30756,12505200
30757,1600000
30758,2000000
30759,2000000
30760,3561990
30761,2000000
30762,4506800
30763,2000000
30764,2000000
30765,5700000
30766,3606128
30767,2000000
30768,5500000
30769,6100000
30770,2000000
30771,4617686
30772,1600000
30773,5600000
30774,5500000
30775,1000000
30776,6500000
30777,2000000
30778,2000000
30779,1000000
30780,7500000
30781,5500000
30782,7500000
30783,2000000
30784,5110800
30785,6400000
30786,5200000
30787,2000000
30788,2000000
30789,1600000
30790,1000000
30791,7500000
30792,6291292
30793,11100000
30794,2000000
30795,2000000
30796,2000000
30797,2000000
30798,2199436
30799,7500000
30800,2000000
30801,5600000
30802,2000000
30803,2199436
30804,3900000
30805,13400000
30806,6291292
30807,2000000
30808,2000000
30809,5406662
30810,11112750
30811,3900000
30812,5500000
30813,2000000
30814,3900000
30815,5869700
30816,2000000
30817,1732252
30818,1600000
30819,5216843
30820,2000000
30821,15765120
30822,1000000
30823,1000000
30824,2000000
30825,2000000
30826,7500000
30827,5600000
30828,6300000
30829,5000000
30830,9130770
30831,1000000
30832,5800000
30833,1600000
30834,2000000
30835,1000000
30836,3900000
30837,5458589
30838,1000000
30839,1000000
30840,2000000
30841,2000000
30842,1000000
30843,5000000
30844,12505200
30845,2000000
30846,5200000
30847,6800000
30848,1000000
30849,4651200
30850,2000000
30851,3900000
30852,5419300
30853,3900000
30854,5000000
30855,3535520
30856,2000000
30857,2199436
30858,5200000
30859,2000000
30860,5000000
30861,10200547
30862,1000000
30863,8341515
30864,2000000
30865,7500000
30866,3940000
30867,2000000
30868,2000000
30869,1000000
30870,5216843
30871,2000000
30872,3900000
30873,3900000
30874,1600000
30875,1600000
30876,3900000
30877,9250000
30878,3900000
30879,5646566
30880,5600000
30881,1732252
30882,1000000
30883,1000000
30884,3900000
30885,5200000
30886,2000000
30887,2000000
30888,6800000
30889,5000000
30890,2000000
30891,3606128
30892,3606128
30893,5200000
30894,1600000
30895,3900000
30896,5500000
30897,9650000
30898,11315970
30899,5500000
30900,3036000
30901,2000000
30902,1732252
30903,9794676
30904,1600000
30905,3900000
30906,6000000
30907,16200000
30908,4238000
30909,5600000
30910,6272000
30911,1000000
